[2022-06-02 17:36:18] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/myOrders/renderPage/1] 	 [error: permission denied for table vouchers_orders] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-02 17:54:34] 	 [user: testMail] 	 [staff user: -] [Външен за системата файл.] 	 [error: permission denied for table vouchers_orders] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-02 17:57:38] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/myOrders/renderPage/1] 	 [error: permission denied for table vouchers] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-03 11:48:37] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=] 	 [error: operator does not exist: integer = text] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-03 11:50:26] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=] 	 [error: operator does not exist: integer = text] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-03 11:52:26] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=] 	 [error: operator does not exist: integer = text] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-03 12:05:19] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=] 	 [error: operator does not exist: integer = text] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-03 12:05:58] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=] 	 [error: operator does not exist: integer = text] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-03 12:06:49] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3320]
[2022-06-03 12:06:51] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/checkout?vouchers=] 	 [Error: Error while creating order!] 	 [/server/app.js] 	 [3320]
[2022-06-03 15:01:03] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/edit-product/27] 	 [Error: error: value "27213123123123" is out of range for type integer] 	 [/server/app.js] 	 [1615]
[2022-06-03 15:01:04] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/edit-product/27] 	 [Error: error: value "27213123123123" is out of range for type integer] 	 [/server/app.js] 	 [1615]
[2022-06-03 15:01:05] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/edit-product/27] 	 [Error: error: value "27213123123123" is out of range for type integer] 	 [/server/app.js] 	 [1615]
[2022-06-03 15:01:13] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/edit-product/27] 	 [Error: error: value "27213123123" is out of range for type integer] 	 [/server/app.js] 	 [1615]
[2022-06-06 16:17:41] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/myOrders/order-details/134126] 	 [error: column "o.id" must appear in the GROUP BY clause or be used in an aggregate function] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-06 16:17:44] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/myOrders/order-details/134126] 	 [error: column "o.id" must appear in the GROUP BY clause or be used in an aggregate function] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-06 16:18:07] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/myOrders/order-details/134126] 	 [error: column "o.id" must appear in the GROUP BY clause or be used in an aggregate function] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-06 18:08:25] 	 [user: -] 	 [staff user: -] [Външен за системата файл.] 	 [TypeError: Cannot read properties of undefined (reading 'includes')] 	 [/server/app.js] 	 [170]
[2022-06-06 18:10:01] 	 [user: -] 	 [staff user: -] [Външен за системата файл.] 	 [ReferenceError: disp is not defined] 	 [/server/app.js] 	 [168]
[2022-06-06 18:10:01] 	 [user: -] 	 [staff user: -] [Външен за системата файл.] 	 [ReferenceError: disp is not defined] 	 [/server/app.js] 	 [168]
[2022-06-06 18:10:17] 	 [user: -] 	 [staff user: -] [Външен за системата файл.] 	 [ReferenceError: Cannot access 'dispatchRole' before initialization] 	 [/server/app.js] 	 [168]
[2022-06-07 14:34:21] 	 [user: -] 	 [staff user: -] [https://bgmitko.bg:3000/login] 	 [ReferenceError: mode is not defined] 	 [/server/utils.js] 	 [30]
[2022-06-07 15:00:32] 	 [user: testMail] 	 [staff user: -] [https://bgmitko.bg:3000/back-office] 	 [ReferenceError: mode is not defined] 	 [/server/utils.js] 	 [30]
[2022-06-07 15:00:33] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:02:09] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:02:28] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:02:32] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:02:41] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:03:17] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:03:24] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-06-07 15:04:09] 	 [user: testMail] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [error: syntax error at or near "SEALECT"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
